symbol	family	source_file	line	firestaff_mapping	status
DM2_14cd_0276	SKULLWIN	SKULLWIN/c_ai.cpp	4176		MISSING
DM2_14cd_0684	SKULLWIN	SKULLWIN/c_ai.cpp	4231		MISSING
DM2_14cd_08f5	SKULLWIN	SKULLWIN/c_ai.cpp	4375		MISSING
DM2_DECIDE_NEXT_XACT	SKULLWIN	SKULLWIN/c_ai.cpp	4445		MISSING
DM2_14cd_0067	SKULLWIN	SKULLWIN/c_ai.cpp	4495		MISSING
DM2_SELECT_CREATURE_37FC	SKULLWIN	SKULLWIN/c_ai.cpp	4723		MISSING
DM2_14cd_09e2	SKULLWIN	SKULLWIN/c_ai.cpp	4743		MISSING
DM2_50CB	SKULLWIN	SKULLWIN/c_ai.cpp	5275		MISSING
DM2_13e4_0982	SKULLWIN	SKULLWIN/c_ai.cpp	5341		MISSING
DM2_THINK_CREATURE	SKULLWIN	SKULLWIN/c_ai.cpp	5649	src/dm2/dm2_v1_creature.c:396	UNCERTAIN
DM2_4EA8	SKULLWIN	SKULLWIN/c_ai.cpp	5786		MISSING
DM2_PREPARE_LOCAL_CREATURE_VAR	SKULLWIN	SKULLWIN/c_ai.cpp	5817		MISSING
DM2_UNPREPARE_LOCAL_CREATURE_VAR	SKULLWIN	SKULLWIN/c_ai.cpp	5895		MISSING
DM2_ai_13e4_0360	SKULLWIN	SKULLWIN/c_ai.cpp	5912		MISSING
DM2_ai_13e4_071b	SKULLWIN	SKULLWIN/c_ai.cpp	5962		MISSING
DM2_ai_13e4_0806	SKULLWIN	SKULLWIN/c_ai.cpp	6001		MISSING
restart	SKULLWIN	SKULLWIN/c_allegro.cpp	17	src/dm2/dm2_v1_sound.c:553	UNCERTAIN
start	SKULLWIN	SKULLWIN/c_allegro.cpp	25	src/dm2/dm2_v2_touch_runtime.c:98	UNCERTAIN
dtor	SKULLWIN	SKULLWIN/c_allegro.cpp	77		MISSING
set_mouse	SKULLWIN	SKULLWIN/c_allegro.cpp	99		MISSING
vsync	SKULLWIN	SKULLWIN/c_allegro.cpp	104		MISSING
stretchblit	SKULLWIN	SKULLWIN/c_allegro.cpp	109		MISSING
start_timer	SKULLWIN	SKULLWIN/c_allegro.cpp	147		MISSING
stop_timer	SKULLWIN	SKULLWIN/c_allegro.cpp	152		MISSING
hide_mouse	SKULLWIN	SKULLWIN/c_allegro.cpp	157		MISSING
init	SKULLWIN	SKULLWIN/c_alloc.cpp	65	src/dm2/dm2_v2_touch_runtime.c:32	UNCERTAIN
DM2_GET_FROM_FREEPOOL	SKULLWIN	SKULLWIN/c_alloc.cpp	81		MISSING
DM2_FIND_FREE_POOL	SKULLWIN	SKULLWIN/c_alloc.cpp	89		MISSING
DM2_ALLOC_MEMORY_RAM	SKULLWIN	SKULLWIN/c_alloc.cpp	111		MISSING
DM2_DEALLOC_LOBIGPOOL	SKULLWIN	SKULLWIN/c_alloc.cpp	151		MISSING
DM2_DEALLOC_HIBIGPOOL	SKULLWIN	SKULLWIN/c_alloc.cpp	160		MISSING
DM2_ALLOC_FREEPOOL_MEMORY	SKULLWIN	SKULLWIN/c_alloc.cpp	169		MISSING
DM2_ALLOC_LOBIGPOOL_MEMORY	SKULLWIN	SKULLWIN/c_alloc.cpp	175		MISSING
DM2_ALLOC_HIBIGPOOL_MEMORY	SKULLWIN	SKULLWIN/c_alloc.cpp	181		MISSING
DM2_TAG_LARGEST_FREE_POOL	SKULLWIN	SKULLWIN/c_alloc.cpp	187		MISSING
DM2_APPEND_FREE_POOL	SKULLWIN	SKULLWIN/c_alloc.cpp	216		MISSING
DM2_ADD_MEM_TO_FREE_POOL	SKULLWIN	SKULLWIN/c_alloc.cpp	229		MISSING
DM2_BUP_FREEPOOL	SKULLWIN	SKULLWIN/c_alloc.cpp	239		MISSING
DM2_RESTORE_FREEPOOL	SKULLWIN	SKULLWIN/c_alloc.cpp	254		MISSING
DM2_COMPLETE_ALLOCATION	SKULLWIN	SKULLWIN/c_alloc.cpp	270		MISSING
DM2_SETUP_MEMORYALLOCATION	SKULLWIN	SKULLWIN/c_alloc.cpp	299		MISSING
DM2_DTOR_MEMORYALLOCATION	SKULLWIN	SKULLWIN/c_alloc.cpp	323		MISSING
init	SKULLWIN	SKULLWIN/c_buttons.cpp	11	src/dm2/dm2_v2_touch_runtime.c:32	UNCERTAIN
init_global_buttongroups	SKULLWIN	SKULLWIN/c_buttons.cpp	25		MISSING
DM2_OFFSET_RECT	SKULLWIN	SKULLWIN/c_buttons.cpp	31		MISSING
DM2_ADJUST_BUTTONGROUP_RECTS	SKULLWIN	SKULLWIN/c_buttons.cpp	43		MISSING
DM2_FILL_RECT_SUMMARY	SKULLWIN	SKULLWIN/c_buttons.cpp	116		MISSING
init_clickrecttable	SKULLWIN	SKULLWIN/c_clickrect.cpp	31		MISSING
DM2_SET_CLICKRECTDATAS	SKULLWIN	SKULLWIN/c_clickrect.cpp	44		MISSING
DM2_REFRESH_CLICKRECTLINK_1	SKULLWIN	SKULLWIN/c_clickrect.cpp	61		MISSING
DM2_REFRESH_CLICKRECTLINK_2	SKULLWIN	SKULLWIN/c_clickrect.cpp	81		MISSING
DM2_ALLOC_CLICKRECTDATA	SKULLWIN	SKULLWIN/c_clickrect.cpp	113		MISSING
DM2_075f_0182	SKULLWIN	SKULLWIN/c_cloud.cpp	21		MISSING
DM2_CREATE_CLOUD	SKULLWIN	SKULLWIN/c_cloud.cpp	127		MISSING
DM2_CALC_CLOUD_DAMAGE	SKULLWIN	SKULLWIN/c_cloud.cpp	446		MISSING
DM2_PROCESS_CLOUD	SKULLWIN	SKULLWIN/c_cloud.cpp	587		MISSING
init_creatures	SKULLWIN	SKULLWIN/c_creature.cpp	28		MISSING
DM2_APPLY_CREATURE_POISON_RESISTANCE	SKULLWIN	SKULLWIN/c_creature.cpp	34		MISSING
DM2_ROTATE_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	58		MISSING
DM2_CREATURE_CAN_HANDLE_ITEM_IN	SKULLWIN	SKULLWIN/c_creature.cpp	104		MISSING
DM2_WOUND_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	165		MISSING
DM2_ATTACK_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	318		MISSING
DM2_CREATURE_ATTACKS_PLAYER	SKULLWIN	SKULLWIN/c_creature.cpp	651		MISSING
DM2_CREATURE_ATTACKS_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	906		MISSING
DM2_CREATURE_ATTACKS_PARTY	SKULLWIN	SKULLWIN/c_creature.cpp	1000	src/dm2/dm2_v1_creature.c:388	UNCERTAIN
DM2_CONFUSE_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	1308		MISSING
DM2_CREATURE_CAN_HANDLE_IT	SKULLWIN	SKULLWIN/c_creature.cpp	1344		MISSING
DM2_CREATURE_CCM06	SKULLWIN	SKULLWIN/c_creature.cpp	1574		MISSING
DM2_CREATURE_CCM03	SKULLWIN	SKULLWIN/c_creature.cpp	1609	src/dm2/dm2_v1_ccm.c:194	UNCERTAIN
DM2_CREATURE_JUMPS	SKULLWIN	SKULLWIN/c_creature.cpp	1636	src/dm2/dm2_v1_ccm.c:207	UNCERTAIN
DM2_CREATURE_USES_LADDER_HOLE	SKULLWIN	SKULLWIN/c_creature.cpp	1709		MISSING
DM2_CREATURE_CAST_SPELL	SKULLWIN	SKULLWIN/c_creature.cpp	1865		MISSING
DM2_CREATURE_STEAL_FROM_CHAMPION	SKULLWIN	SKULLWIN/c_creature.cpp	1972		MISSING
DM2_CREATURE_CCM0B	SKULLWIN	SKULLWIN/c_creature.cpp	2145		MISSING
DM2_CREATURE_TAKES_ITEM	SKULLWIN	SKULLWIN/c_creature.cpp	2176	src/dm2/dm2_v1_ccm.c:246	UNCERTAIN
DM2_CREATURE_CCM0C	SKULLWIN	SKULLWIN/c_creature.cpp	2247		MISSING
DM2_CREATURE_PUTS_DOWN_ITEM	SKULLWIN	SKULLWIN/c_creature.cpp	2284	src/dm2/dm2_v1_ccm.c:240	UNCERTAIN
DM2_CREATURE_KILL_ON_TIMER_POSITION	SKULLWIN	SKULLWIN/c_creature.cpp	2352		MISSING
DM2_CREATURE_SHOOT_ITEM	SKULLWIN	SKULLWIN/c_creature.cpp	2359		MISSING
DM2_CREATURE_ROTATES_TARGET_CREATURE	SKULLWIN	SKULLWIN/c_creature.cpp	2394		MISSING
DM2_PLACE_MERCHANDISE	SKULLWIN	SKULLWIN/c_creature.cpp	2411		MISSING
DM2_TAKE_MERCHANDISE	SKULLWIN	SKULLWIN/c_creature.cpp	2509		MISSING
DM2_CREATURE_ACTIVATES_WALL	SKULLWIN	SKULLWIN/c_creature.cpp	2564		MISSING
DM2_CREATURE_TRANSFORM	SKULLWIN	SKULLWIN/c_creature.cpp	2637	src/dm2/dm2_v1_ccm.c:319	UNCERTAIN
